Start,End,Src_IP,Port,Dest_IP,Port,SSRC,Payload,Pkts,Lost,Lost_Percent,Min_Delta(ms),Mean_Delta(ms),Max_Delta(ms),Min_Jitter(ms),Mean_Jitter(ms),Max_Jitter(ms),Problems
0.023006,59.515343,10.0.2.15,57135,10.0.2.15,42936,0x83555339,RTPType-96,1803,0,(0.0%),1.769,33.015,80.459,-1.000,0.000,0.000
0.016295,59.513533,10.0.2.15,47223,10.0.2.15,40450,0x6050CA31,RTPType-96,1802,0,(0.0%),0.030,33.036,72.884,-1.000,0.000,0.000
0.005686,59.516070,10.0.2.15,40608,10.0.2.15,58150,0xEA618A58,RTPType-96,5409,-3596,(-198.3%),0.018,30.566,83.066,-1.000,0.000,0.000,X
0.004383,59.502425,10.0.2.15,40577,10.0.2.15,60927,0xBD8E6C0C,RTPType-96,1804,0,(0.0%),0.008,32.999,78.100,-1.000,0.000,0.000
0.002705,59.516083,10.0.2.15,40450,10.0.2.15,47223,0xDAFE628D,RTPType-96,5410,-3598,(-198.6%),0.042,31.343,76.536,-1.000,0.000,0.000,X
0.002669,59.515971,10.0.2.15,42936,10.0.2.15,57135,0xCCC4FBE3,RTPType-96,5409,-3596,(-198.3%),0.044,30.730,76.264,-1.000,0.000,0.000,X
0.001785,59.516039,10.0.2.15,60927,10.0.2.15,40577,0xBFC9D49D,RTPType-96,5408,-3601,(-199.3%),0.022,31.051,84.386,-1.000,0.000,0.000,X
0.000000,59.498566,10.0.2.15,58150,10.0.2.15,40608,0xF87859DE,RTPType-96,1803,0,(0.0%),0.010,33.018,91.173,-1.000,0.000,0.000
