Start,End,Src_IP,Port,Dest_IP,Port,SSRC,Payload,Pkts,Lost,Lost_Percent,Min_Delta(ms),Mean_Delta(ms),Max_Delta(ms),Min_Jitter(ms),Mean_Jitter(ms),Max_Jitter(ms),Problems
0.029067,59.429816,10.0.2.15,60851,10.0.2.15,49676,0x6AED239C,RTPType-96,1800,0,(0.0%),0.113,33.019,70.829,-1.000,0.000,0.000
0.008019,59.439884,10.0.2.15,54709,10.0.2.15,50204,0x1F001B8A,RTPType-96,1802,0,(0.0%),5.510,32.999,59.663,-1.000,0.000,0.000
0.005112,59.439989,10.0.2.15,49676,10.0.2.15,60851,0xCF767700,RTPType-96,3604,-1799,(-99.7%),0.200,32.547,80.650,-1.000,0.000,0.000,X
0.004511,59.437221,10.0.2.15,42068,10.0.2.15,50902,0xAF75B412,RTPType-96,1802,0,(0.0%),6.640,33.000,61.603,-1.000,0.000,0.000
0.000059,59.437942,10.0.2.15,50204,10.0.2.15,54709,0xAA36D7E0,RTPType-96,3603,-1797,(-99.5%),0.324,32.549,72.514,-1.000,0.000,0.000,X
0.000000,59.440006,10.0.2.15,50902,10.0.2.15,42068,0x3F334A4D,RTPType-96,3603,-1794,(-99.2%),0.837,32.551,72.559,-1.000,0.000,0.000,X
