Address_A,Address_B,Frames-A_B,Bytes-A_B,Frames-B_A,Bytes-B_A,Total_Frames,Total_Bytes,Start,Duration
10.0.2.15:54757,10.0.2.15:50988,1919,138,5513,393,7432,532,0.000168677,59.5081
10.0.2.15:50001,10.0.2.15:47871,1917,138,5511,393,7428,532,0.000000000,59.5090
10.0.2.15:42166,10.0.2.15:55163,1915,138,5513,393,7428,532,0.000022624,59.5091
10.0.2.15:59810,10.0.2.15:60821,1914,138,5513,393,7427,532,0.014786345,59.4943
