Start,End,Src_IP,Port,Dest_IP,Port,SSRC,Payload,Pkts,Lost,Lost_Percent,Min_Delta(ms),Mean_Delta(ms),Max_Delta(ms),Min_Jitter(ms),Mean_Jitter(ms),Max_Jitter(ms),Problems
0.062543,57.873468,10.0.2.15,54960,10.0.2.15,56090,0x3AF88F3A,RTPType-96,1750,0,(0.0%),0.110,33.054,75.156,-1.000,0.000,0.000
0.024115,57.862371,10.0.2.15,55612,10.0.2.15,58382,0x05A8FA16,RTPType-96,1750,0,(0.0%),0.010,33.069,79.194,-1.000,0.000,0.000
0.015116,57.862059,10.0.2.15,56510,10.0.2.15,43524,0xEDB8B184,RTPType-96,1752,0,(0.0%),5.906,33.037,75.786,-1.000,0.000,0.000
0.004593,57.862481,10.0.2.15,56090,10.0.2.15,54960,0x2B4F9164,RTPType-96,3503,-1750,(-99.8%),-0.013,19.074,89.079,-1.000,0.000,0.000,X
0.002533,57.862460,10.0.2.15,43524,10.0.2.15,56510,0x4F0CC3D2,RTPType-96,3500,-1743,(-99.2%),0.016,32.922,91.515,-1.000,0.000,0.000,X
0.000000,57.862375,10.0.2.15,58382,10.0.2.15,55612,0xCC8ED638,RTPType-96,3503,-1745,(-99.3%),0.013,32.560,89.959,-1.000,0.000,0.000,X
