Address_A,Address_B,Frames-A_B,Bytes-A_B,Frames-B_A,Bytes-B_A,Total_Frames,Total_Bytes,Start,Duration
10.0.2.15:32887,10.0.2.15:53887,7323,522,1922,138,9245,661,0.000000000,59.4587
10.0.2.15:53730,10.0.2.15:50198,1920,138,7325,522,9245,661,0.001925489,59.4568
10.0.2.15:52527,10.0.2.15:32771,1920,138,7321,522,9241,661,0.001707353,59.4565
10.0.2.15:52454,10.0.2.15:55963,1919,138,7322,522,9241,661,0.001881810,59.4568
10.0.2.15:51381,10.0.2.15:48916,1918,138,7323,522,9241,661,0.001908045,59.4568
