Start,End,Src_IP,Port,Dest_IP,Port,SSRC,Payload,Pkts,Lost,Lost_Percent,Min_Delta(ms),Mean_Delta(ms),Max_Delta(ms),Min_Jitter(ms),Mean_Jitter(ms),Max_Jitter(ms),Problems
0.032086,59.498758,10.0.2.15,60821,10.0.2.15,59810,0xB38E7FE6,RTPType-96,1796,0,(0.0%),0.079,33.129,82.586,-1.000,0.000,0.000
0.022330,59.487844,10.0.2.15,55163,10.0.2.15,42166,0xFF358D6F,RTPType-96,1797,0,(0.0%),0.025,33.110,85.123,-1.000,0.000,0.000
0.018337,59.485587,10.0.2.15,47871,10.0.2.15,50001,0x86C42606,RTPType-96,1799,0,(0.0%),0.013,33.074,84.766,-1.000,0.000,0.000
0.014786,59.509108,10.0.2.15,59810,10.0.2.15,60821,0xAB3AB4B6,RTPType-96,5395,-3586,(-198.2%),0.027,31.079,90.501,-1.000,0.000,0.000,X
0.010266,59.508265,10.0.2.15,50988,10.0.2.15,54757,0x91B0E169,RTPType-96,1799,0,(0.0%),0.013,33.091,77.410,-1.000,0.000,0.000
0.000169,59.499521,10.0.2.15,54757,10.0.2.15,50988,0x33D73569,RTPType-96,5393,-3587,(-198.6%),0.019,32.192,116.076,-1.000,0.000,0.000,X
0.000023,59.509095,10.0.2.15,42166,10.0.2.15,55163,0xD55568B2,RTPType-96,5395,-3586,(-198.2%),0.009,31.152,90.501,-1.000,0.000,0.000,X
0.000000,59.509036,10.0.2.15,50001,10.0.2.15,47871,0x427FBC79,RTPType-96,5393,-3590,(-199.1%),-0.009,30.545,82.914,-1.000,0.000,0.000,X
