Address_A,Address_B,Frames-A_B,Bytes-A_B,Frames-B_A,Bytes-B_A,Total_Frames,Total_Bytes,Start,Duration
10.0.2.15:40450,10.0.2.15:47223,1922,138,5530,395,7452,534,0.002705317,59.5134
10.0.2.15:58150,10.0.2.15:40608,5527,394,1921,138,7448,533,0.000000000,59.5161
10.0.2.15:60927,10.0.2.15:40577,1922,138,5526,394,7448,533,0.001784600,59.5143
10.0.2.15:42936,10.0.2.15:57135,1921,138,5527,394,7448,533,0.002669341,59.5133
