Address_A,Address_B,Frames-A_B,Bytes-A_B,Frames-B_A,Bytes-B_A,Total_Frames,Total_Bytes,Start,Duration
10.0.2.15:40497,10.0.2.15:40920,7270,518,1910,138,9180,656,0.000000000,59.3528
10.0.2.15:44368,10.0.2.15:42593,1903,137,7277,519,9180,656,0.001714535,59.3511
10.0.2.15:60988,10.0.2.15:59342,1906,137,7274,518,9180,656,0.001845947,59.3510
10.0.2.15:60370,10.0.2.15:52335,1909,138,7267,518,9176,656,0.001777362,59.3510
10.0.2.15:48019,10.0.2.15:43741,1908,137,7268,518,9176,656,0.001796490,59.3501
