Address_A,Address_B,Frames-A_B,Bytes-A_B,Frames-B_A,Bytes-B_A,Total_Frames,Total_Bytes,Start,Duration
10.0.2.15:58382,10.0.2.15:55612,1866,134,3619,259,5485,394,0.000000000,57.8624
10.0.2.15:56090,10.0.2.15:54960,1866,134,3619,259,5485,394,0.004592739,57.8689
10.0.2.15:43524,10.0.2.15:56510,1868,135,3616,259,5484,394,0.002532578,57.8599
